    x-coordinate,    y-coordinate,     temperature
1.25E-03,5.25E-03,2.83E+02
7.50E-04,4.75E-03,2.83E+02
2.50E-04,4.25E-03,2.83E+02
1.25E-03,5.75E-03,2.84E+02
7.50E-04,5.25E-03,2.83E+02
2.50E-04,4.75E-03,2.83E+02
7.50E-04,5.75E-03,2.84E+02
2.50E-04,5.25E-03,2.83E+02
2.50E-04,5.75E-03,2.84E+02
4.33E-02,5.75E-03,3.06E+02
4.28E-02,5.75E-03,3.05E+02
4.33E-02,5.25E-03,2.98E+02
4.22E-02,5.75E-03,3.05E+02
4.28E-02,5.25E-03,2.98E+02
4.33E-02,4.75E-03,2.93E+02
4.17E-02,5.75E-03,3.05E+02
4.22E-02,5.25E-03,2.97E+02
4.28E-02,4.75E-03,2.93E+02
4.33E-02,4.25E-03,2.91E+02
4.13E-02,5.75E-03,3.04E+02
4.17E-02,5.25E-03,2.97E+02
4.22E-02,4.75E-03,2.93E+02
4.28E-02,4.25E-03,2.90E+02
4.08E-02,5.75E-03,3.04E+02
4.13E-02,5.25E-03,2.97E+02
4.17E-02,4.75E-03,2.92E+02
4.22E-02,4.25E-03,2.90E+02
4.02E-02,5.75E-03,3.04E+02
4.08E-02,5.25E-03,2.96E+02
4.13E-02,4.75E-03,2.92E+02
4.17E-02,4.25E-03,2.90E+02
3.98E-02,5.75E-03,3.03E+02
4.02E-02,5.25E-03,2.96E+02
4.08E-02,4.75E-03,2.92E+02
4.13E-02,4.25E-03,2.90E+02
3.93E-02,5.75E-03,3.03E+02
3.98E-02,5.25E-03,2.96E+02
4.02E-02,4.75E-03,2.92E+02
4.08E-02,4.25E-03,2.89E+02
3.88E-02,5.75E-03,3.02E+02
3.93E-02,5.25E-03,2.96E+02
3.98E-02,4.75E-03,2.91E+02
4.02E-02,4.25E-03,2.89E+02
3.82E-02,5.75E-03,3.02E+02
3.88E-02,5.25E-03,2.95E+02
3.93E-02,4.75E-03,2.91E+02
3.98E-02,4.25E-03,2.89E+02
3.78E-02,5.75E-03,3.02E+02
3.82E-02,5.25E-03,2.95E+02
3.88E-02,4.75E-03,2.91E+02
3.93E-02,4.25E-03,2.89E+02
3.78E-02,5.25E-03,2.95E+02
3.82E-02,4.75E-03,2.91E+02
3.88E-02,4.25E-03,2.89E+02
3.78E-02,4.75E-03,2.91E+02
3.82E-02,4.25E-03,2.88E+02
3.78E-02,4.25E-03,2.88E+02
1.78E-02,5.75E-03,2.87E+02
1.72E-02,5.75E-03,2.87E+02
1.78E-02,5.25E-03,2.85E+02
1.68E-02,5.75E-03,2.86E+02
1.72E-02,5.25E-03,2.85E+02
1.78E-02,4.75E-03,2.84E+02
1.63E-02,5.75E-03,2.86E+02
1.68E-02,5.25E-03,2.85E+02
1.72E-02,4.75E-03,2.84E+02
1.82E-02,4.75E-03,2.84E+02
1.78E-02,4.25E-03,2.84E+02
1.58E-02,5.75E-03,2.86E+02
1.63E-02,5.25E-03,2.85E+02
1.68E-02,4.75E-03,2.84E+02
1.72E-02,4.25E-03,2.84E+02
1.88E-02,4.75E-03,2.84E+02
1.82E-02,4.25E-03,2.84E+02
1.53E-02,5.75E-03,2.86E+02
1.58E-02,5.25E-03,2.85E+02
1.63E-02,4.75E-03,2.84E+02
1.68E-02,4.25E-03,2.84E+02
1.88E-02,4.25E-03,2.84E+02
1.48E-02,5.75E-03,2.86E+02
1.53E-02,5.25E-03,2.85E+02
1.58E-02,4.75E-03,2.84E+02
1.63E-02,4.25E-03,2.84E+02
1.43E-02,5.75E-03,2.86E+02
1.48E-02,5.25E-03,2.84E+02
1.53E-02,4.75E-03,2.84E+02
1.58E-02,4.25E-03,2.84E+02
1.37E-02,5.75E-03,2.86E+02
1.43E-02,5.25E-03,2.84E+02
1.48E-02,4.75E-03,2.84E+02
1.53E-02,4.25E-03,2.84E+02
1.33E-02,5.75E-03,2.85E+02
1.37E-02,5.25E-03,2.84E+02
1.43E-02,4.75E-03,2.84E+02
1.48E-02,4.25E-03,2.83E+02
1.32E-02,5.25E-03,2.84E+02
1.37E-02,4.75E-03,2.84E+02
1.43E-02,4.25E-03,2.83E+02
1.27E-02,5.25E-03,2.84E+02
1.32E-02,4.75E-03,2.84E+02
1.37E-02,4.25E-03,2.83E+02
1.22E-02,5.25E-03,2.84E+02
1.27E-02,4.75E-03,2.84E+02
1.33E-02,4.25E-03,2.83E+02
1.17E-02,5.25E-03,2.84E+02
